id,question_number,title,title_slug,difficulty,topics,url,active,notes,source
two-sum,1,两数之和,two-sum,EASY,"Array,Hash Table",https://leetcode.cn/problems/two-sum/,true,,leetcode-hot100
group-anagrams,49,字母异位词分组,group-anagrams,MEDIUM,"Array,Hash Table,String,Sorting",https://leetcode.cn/problems/group-anagrams/,true,,leetcode-hot100
longest-consecutive-sequence,128,最长连续序列,longest-consecutive-sequence,MEDIUM,"Union Find,Array,Hash Table",https://leetcode.cn/problems/longest-consecutive-sequence/,true,,leetcode-hot100
move-zeroes,283,移动零,move-zeroes,EASY,"Array,Two Pointers",https://leetcode.cn/problems/move-zeroes/,true,,leetcode-hot100
container-with-most-water,11,盛最多水的容器,container-with-most-water,MEDIUM,"Greedy,Array,Two Pointers",https://leetcode.cn/problems/container-with-most-water/,true,,leetcode-hot100
3sum,15,三数之和,3sum,MEDIUM,"Array,Two Pointers,Sorting",https://leetcode.cn/problems/3sum/,true,,leetcode-hot100
trapping-rain-water,42,接雨水,trapping-rain-water,HARD,"Stack,Array,Two Pointers,Dynamic Programming,Monotonic Stack",https://leetcode.cn/problems/trapping-rain-water/,true,,leetcode-hot100
longest-substring-without-repeating-characters,3,无重复字符的最长子串,longest-substring-without-repeating-characters,MEDIUM,"Hash Table,String,Sliding Window",https://leetcode.cn/problems/longest-substring-without-repeating-characters/,true,,leetcode-hot100
find-all-anagrams-in-a-string,438,找到字符串中所有字母异位词,find-all-anagrams-in-a-string,MEDIUM,"Hash Table,String,Sliding Window",https://leetcode.cn/problems/find-all-anagrams-in-a-string/,true,,leetcode-hot100
subarray-sum-equals-k,560,和为 K 的子数组,subarray-sum-equals-k,MEDIUM,"Array,Hash Table,Prefix Sum",https://leetcode.cn/problems/subarray-sum-equals-k/,true,,leetcode-hot100
sliding-window-maximum,239,滑动窗口最大值,sliding-window-maximum,HARD,"Queue,Array,Sliding Window,Monotonic Queue,Heap (Priority Queue),区间最值查询",https://leetcode.cn/problems/sliding-window-maximum/,true,,leetcode-hot100
minimum-window-substring,76,最小覆盖子串,minimum-window-substring,HARD,"Hash Table,String,Sliding Window",https://leetcode.cn/problems/minimum-window-substring/,true,,leetcode-hot100
maximum-subarray,53,最大子数组和,maximum-subarray,MEDIUM,"Array,Divide and Conquer,Dynamic Programming",https://leetcode.cn/problems/maximum-subarray/,true,,leetcode-hot100
merge-intervals,56,合并区间,merge-intervals,MEDIUM,"Array,Sorting,快速排序",https://leetcode.cn/problems/merge-intervals/,true,,leetcode-hot100
rotate-array,189,轮转数组,rotate-array,MEDIUM,"Array,Math,Two Pointers",https://leetcode.cn/problems/rotate-array/,true,,leetcode-hot100
product-of-array-except-self,238,除了自身以外数组的乘积,product-of-array-except-self,MEDIUM,"Array,Prefix Sum",https://leetcode.cn/problems/product-of-array-except-self/,true,,leetcode-hot100
first-missing-positive,41,缺失的第一个正数,first-missing-positive,HARD,"Array,Hash Table",https://leetcode.cn/problems/first-missing-positive/,true,,leetcode-hot100
set-matrix-zeroes,73,矩阵置零,set-matrix-zeroes,MEDIUM,"Array,Hash Table,Matrix",https://leetcode.cn/problems/set-matrix-zeroes/,true,,leetcode-hot100
spiral-matrix,54,螺旋矩阵,spiral-matrix,MEDIUM,"Array,Matrix,Simulation",https://leetcode.cn/problems/spiral-matrix/,true,,leetcode-hot100
rotate-image,48,旋转图像,rotate-image,MEDIUM,"Array,Math,Matrix",https://leetcode.cn/problems/rotate-image/,true,,leetcode-hot100
search-a-2d-matrix-ii,240,搜索二维矩阵 II,search-a-2d-matrix-ii,MEDIUM,"Array,Binary Search,Divide and Conquer,Matrix",https://leetcode.cn/problems/search-a-2d-matrix-ii/,true,,leetcode-hot100
intersection-of-two-linked-lists,160,相交链表,intersection-of-two-linked-lists,EASY,"Hash Table,Linked List,Two Pointers",https://leetcode.cn/problems/intersection-of-two-linked-lists/,true,,leetcode-hot100
reverse-linked-list,206,反转链表,reverse-linked-list,EASY,"Recursion,Linked List",https://leetcode.cn/problems/reverse-linked-list/,true,,leetcode-hot100
